From	Entry
ADY53113.1	F0S5E9
AEO57303.1	G2QCC8
BAJ65883.1	A0ACD7UIE0
BAJ67504.1	A0ACD7UMR7
BAJ67514.1	A0ACD7UMY4
BAJ67515.1	A0ACD7UP03
BAJ67516.1	A0ACD7UN46
BAJ67517.1	A0ACD7UNL7
CAZ94235.1	G0L0B2
